Title,Junior Programmer
URL,https://learn.unity.com/pathway/junior-programmer?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0
By,Unity Technologies
Use Unity Version,6.0
Total Estimated Duration(HH:MM:SS),47:00:00
Summary,"Welcome to Junior Programmer! Designed for anyone interested in learning to code or obtaining an entry-level Unity role, this pathway assumes a basic knowledge of Unity and has no math prerequisites. Junior Programmer prepares you to get Unity Certified so that you can demonstrate your job-readiness to employers."

Title,URL,Type,Duration(HH:MM:SS),Summary
Mission 2: Basic Gameplay,,,07:10:00,"In this Mission, you will program a top-down game with the objective of throwing food to hungry animals - who are stampeding towards you - before they can run past you. In order to do this, you will become much more familiar with some of the most important programming and Unity concepts, including if-then statements, random value generation, arrays, collision detection, prefabs, and instantiation. In completing this Unit, you will learn how to program a basic game with the ability to launch projectiles and maneuver the player to keep the game alive."
Unit 2 - Introduction,https://learn.unity.com/tutorial/6759d4deedbc2a19d88974c3?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:05:00,"An introductory video for Unit 2, where you will learn to implement Basic Gameplay."
Lesson 2.1 - Player Positioning,https://learn.unity.com/tutorial/6751b7d9edbc2a03cf313d84?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Overview: You will begin this unit by creating a new project for your second Prototype and getting basic player movement working. You will first choose which character you would like, which types of animals you would like to interact with, and which food you would like to feed those animals. You will give the player basic side-to-side movement just like you did in Prototype 1, but then you will use if-then statements to keep the Player in bounds. Project Outcome:The player will be able to move left and right on the screen based on the user’s left and right key presses, but will not be able to leave the play area on either side."
Lesson 2.2 - Food Flight,https://learn.unity.com/tutorial/67542b74edbc2a09823fd7cf?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:10:00,"Overview: In this lesson, you will allow the player to launch the projectile through the scene. First you will write a new script to send the projectile forwards. Next you will store the projectile along with all of its scripts and properties using an important new concept in Unity called Prefabs. The player will be able to launch the projectile prefab with a tap of the spacebar. Finally, you will add boundaries to the scene, removing any objects that leave the screen. Project Outcome:The player will be able to press the Spacebar and launch a projectile prefab into the scene, which destroys itself when it leaves the game’s boundaries. The animals will also be removed from the scene when they leave the game boundaries."
Lesson 2.3 - Random Animal Stampede,https://learn.unity.com/tutorial/6754617aedbc2a095b867ae0?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Overview: Our animal prefabs walk across the screen and get destroyed out of bounds, but they don’t actually appear in the game unless we drag them in! In this lesson we will allow the animals to spawn on their own, in a random location at the top of the screen. In order to do so, we will create a new object and a new script to manage the entire spawning process. Project Outcome:When the user presses the S key, a randomly selected animal will spawn at a random position at the top of the screen, walking towards the player."
Lesson 2.4 - Collision Decisions,https://learn.unity.com/tutorial/67558690edbc2a0c109fb699?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:50:00,"Overview: Our game is coming along nicely, but there are are some critical things we must add before it’s finished. First off, instead of pressing S to spawn the animals, we will spawn them on a timer so that they appear every few seconds. Next we will add colliders to all of our prefabs and make it so launching a projectile into an animal will destroy it. Finally, we will display a “Game Over” message if any animals make it past the player.Project Outcome:The animals will spawn on a timed interval and walk down the screen, triggering a “Game Over” message if they make it past the player. If the player hits them with a projectile to feed them, they will be destroyed."
Challenge 2 - Play Fetch,https://learn.unity.com/tutorial/67559be5edbc2a0e9fb7cc49?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Challenge Overview: Use your array and random number generation skills to program this challenge where balls are randomly falling from the sky and you have to send your dog out to catch them before they hit the ground. To complete this challenge, you will have to make sure your variables are assigned properly, your if-statements are programmed correctly, your collisions are being detected perfectly, and that objects are being generated randomly.Challenge Outcome:A random ball (of 3) is generated at a random x position above the screenWhen the user presses spacebar, a dog is spawned and runs to catch the ballIf the dog collides with the ball, the ball is destroyedIf the ball hits the ground, a “Game Over” debug message is displayedThe dogs and balls are removed from the scene when they leave the screen"
Lab 2 - New Project with Primitives,https://learn.unity.com/tutorial/67559e90edbc2a0eaf59bd44?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Overview: You will create and set up the project that will soon transform into your very own Personal Project. For now, you will use “primitive” shapes (such as spheres, cubes, and planes) as placeholders for your objects so that you can add functionality as efficiently as possible without getting bogged down by graphics. To make it clear which object is which, you will also give each object a unique colored material. Project Outcome:All key objects are in the scene as primitive objects with the camera positioned properly for your project type."
Quiz 2,https://learn.unity.com/quiz/6756ae09edbc2a14595c1faa?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Quiz,00:15:00,This quiz will assess your knowledge of the skills and concepts learned in Unit 2.
Mod the Cube,https://learn.unity.com/tutorial/5f7cf009edbc2a0020a3a0d9?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Exercise,00:30:00,"In this exercise, you'll be challenged to modify a provided script to change the behavior of an object it's applied to."
Quiz: Create with Code 1,https://learn.unity.com/quiz/5f75f43fedbc2a0020ceb379?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Quiz,00:20:00,This quiz will assess your understanding of the concepts covered in the Create with Code 1 Mission.

Mission 3: Sound and Effects,,,07:00:00,"In this Mission, you will program a fast-paced endless side-scrolling runner game where the player needs to time jumps over oncoming obstacles to avoid crashing. In creating this prototype, you will learn how to add music and sound effects, completely transforming the experience of your projects. You will also learn how to create dynamic endless repeating backgrounds, which are critical for any side-scrolling games. Finally, you will learn to incorporate particle effects like splatters and explosions, which make your games so much more satisfying to play."
Unit 3 - Introduction,https://learn.unity.com/tutorial/674f742aedbc2a27b1305213?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:05:00,"An introductory video for Unit 3, where you will learn to implement Animation, Sound, and Particle Effects."
Lesson 3.1 - Jump Force,https://learn.unity.com/tutorial/674f771aedbc2a27a4e1437b?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:30:00,"Overview: The goal of this lesson is to set up the basic gameplay for this prototype. We will start by creating a new project and importing the starter files. Next we will choose a beautiful background and a character for the player to control, and allow that character to jump with a tap of the spacebar. We will also choose an obstacle for the player, and create a spawn manager that throws them in the player’s path at timed intervals. Project Outcome:The character, background, and obstacle of your choice will be set up. The player will be able to press spacebar and make the character jump, as obstacles spawn at the edge of the screen and block the player’s path."
Lesson 3.2 - Make the World Whiz By,https://learn.unity.com/tutorial/6752352eedbc2a00ee808349?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:10:00,"Overview: We’ve got the core mechanics of this game figured out: The player can tap the spacebar to jump over incoming obstacles. However, the player appears to be running for the first few seconds, but then the background just disappears! In order to fix this, we need to repeat the background seamlessly to make it look like the world is rushing by! We also need the game to halt when the player collides with an obstacle, stopping the background from repeating and stopping the obstacles from spawning. Lastly, we must destroy any obstacles that get past the player.Project Outcome:The background moves flawlessly at the same time as the obstacles, and the obstacles will despawn when they exit game boundaries. With the power of script communication, the background and spawn manager will halt when the player collides with an obstacle. Colliding with an obstacle will also trigger a game over message in the console log, halting the background and the spawn manager."
Lesson 3.3 - Don't Just Stand There,https://learn.unity.com/tutorial/67537eb0edbc2a04fe5602e6?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Overview: The game is looking great so far, but the player character is a bit… lifeless. Instead of the character simply sliding across the ground, we’re going to give it animations for running, jumping, and even death! We will also tweak the speed of these animations, timing them so they look perfect in the game environment.Project Outcome:With the animations from the animator controller, the character will have 3 new animations that occur in 3 different game states. These states include running, jumping, and death, all of which transition smoothly and are timed to suit the game."
Lesson 3.4 - Particles and Sound Effects,https://learn.unity.com/tutorial/675399f1edbc2a078ab00ec9?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Overview: This game is looking extremely good, but it’s missing something critical: Sound effects and Particle effects! Sounds and music will breathe life into an otherwise silent game world, and particles will make the player’s actions more dynamic and eye-popping. In this lesson, we will add cool sounds and particles when the character is running, jumping, and crashing.Project Outcome:Music will play as the player runs through the scene, kicking up dirt particles in a spray behind their feet. A springy sound will play as they jump and a boom will play as they crash, bursting in a cloud of smoke particles as they fall over."
"Challenge 3 - Balloons, Bombs, & Booleans",https://learn.unity.com/tutorial/675604b9edbc2a10722a3740?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Challenge Overview: Apply your knowledge of physics, scrolling backgrounds, and special effects to a balloon floating through town, picking up tokens while avoiding explosives. You will have to do a lot of troubleshooting in this project because it is riddled with errors. Challenge Outcome:The balloon floats upwards as the player holds spacebarThe background seamlessly repeats, simulating the balloon’s movementBombs and Money tokens are spawned randomly on a timer When you collide with the Money, there’s a particle and sound effectWhen you collide with the Bomb, there’s an explosion and the background stops"
Lab 3 - Player Control,https://learn.unity.com/tutorial/6757b7f6edbc2a14de669cc2?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Overview: In this lesson, you program the player’s basic movement, including the code that limits that movement. Since there are a lot of different ways a player can move, depending on the type of project you’re working on, you will not be given step-by-step instructions on how to do it. In order to do this, you will need to do research, reference other code, and problem-solve when things go wrong.Project Outcome:The player will be able to move around based on user input, but not be able to move where they shouldn’t."
Quiz 3,https://learn.unity.com/quiz/67589410edbc2a18752e31e1?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Quiz,00:15:00,This quiz will assess your knowledge of the skills and concepts learned in Unit 3.

Mission 4: Gameplay Mechanics,,,06:40:00,"In this Mission, you will program an arcade-style Sumo battle with the objective of knocking increasingly difficult waves of enemies off of a floating island, using power ups to help defeat them. In creating this prototype, you will learn how to implement new gameplay mechanics into your projects, which are new rules or systems that make the game more interesting to play. On one hand, you will learn to program a powerup, which give the player a temporary advantage. On the other hand, you will learn to program increasingly difficult enemy waves, which make survival more challenging for the player. A good balance of powerups and increasing difficulty make for a much more interesting gameplay experience."
Unit 4 - Introduction,https://learn.unity.com/tutorial/675980ccedbc2a1e706d89ab?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:05:00,"An introductory video for Unit 4, where you will learn to implement new Gameplay Mechanics."
Lesson 4.1 - Watch Where You’re Going,https://learn.unity.com/tutorial/674e1f18edbc2a1b7f2252ca?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Overview: First things first, we will create a new prototype and download the starter files! You’ll notice a beautiful island, sky, and particle effect... all of which can be customized! Next you will allow the player to rotate the camera around the island in a perfect radius, providing a glorious view of the scene. The player will be represented by a sphere, wrapped in a detailed texture of your choice. Finally you will add force to the player, allowing them to move forwards or backwards in the direction of the camera.Project Outcome:The camera will evenly rotate around a focal point in the center of the island, provided a horizontal input from the player. The player will control a textured sphere, and move them forwards or backwards in the direction of the aforementioned focal point."
Lesson 4.2 - Follow the Player,https://learn.unity.com/tutorial/674fcdb3edbc2a2b6fa5d684?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Overview: The player can roll around to its heart’s content… but it has no purpose. In this lesson, we fill that purpose by creating an enemy to challenge the player! First we will give the enemy a texture of your choice, then give it the ability to bounce the player away... potentially knocking them off the cliff. Lastly, we will let the enemy chase the player around the island and spawn in random positions.Project Outcome:A textured and spherical enemy will spawn on the island at start, in a random location determined by a custom function. It will chase the player around the island, bouncing them off the edge if they get too close."
Lesson 4.3 - PowerUp and CountDown,https://learn.unity.com/tutorial/67558a5bedbc2a0f6d3697ec?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Overview: The enemy chases the player around the island, but the player needs a better way to defend themselves... especially if we add more enemies. In this lesson, we’re going to create a powerup that gives the player a temporary strength boost, shoving away enemies that come into contact! The powerup will spawn in a random position on the island, and highlight the player with an indicator when it is picked up. The powerup indicator and the powerup itself will be represented by stylish game assets of your choice.Project Outcome:A powerup will spawn in a random position on the map, eagerly awaiting the player. Once the player collides with this powerup, the powerup will disappear and the player will be highlighted by an indicator. The powerup will last for 5 seconds after pickup, granting the player super strength that blasts away enemies!"
Lesson 4.4 - For-Loops For Waves,https://learn.unity.com/tutorial/6756607bedbc2a11c6dca87d?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:50:00,"Overview: We have all the makings of a great game; A player that rolls around and rotates the camera, a powerup that grants super strength, and an enemy that chases the player until the bitter end. In this lesson we will wrap things up by putting these pieces together!First we will enhance the enemy spawn manager, allowing it to spawn multiple enemies and increase their number every time a wave is defeated. Lastly we will spawn the powerup with every wave, giving the player a chance to fight back against the ever-increasing horde of enemies.Project Outcome:The Spawn Manager will operate in waves, spawning multiple enemies and a new powerup with each iteration. Every time the enemies drop to zero, a new wave is spawned and the enemy count increases."
Challenge 4 - Soccer Scripting,https://learn.unity.com/tutorial/6755a530edbc2a0dad27c709?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Challenge Overview: Use the skills you learned in the Sumo Battle prototype in a completely different context: the soccer field. Just like in the prototype, you will control a ball by rotating the camera around it and applying a forward force, but instead of knocking them off the edge, your goal is to knock them into the opposing net while they try to get into your net. Just like in the Sumo Battle, after every round a new wave will spawn with more enemy balls, putting your defense to the test. However, almost nothing in this project is functioning! It’s your job to get it working correctly.Challenge Outcome:Enemies move towards your net, but you can hit them to deflect them awayPowerups apply a temporary strength boost, then disappear after 5 secondsWhen there are no more enemy balls, a new wave spawns with 1 more enemy"
Lab 4 - Basic Gameplay,https://learn.unity.com/tutorial/6756e3a7edbc2a14d747352f?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:30:00,"Overview: In this lab, you will work with all of your non-player objects in order to bring your project to life with its basic gameplay. You will give your projectiles, pickups, or enemies their basic movement and collision detection, make them into prefabs, and have them spawned randomly by a spawn manager. By the end of this lab, you should have a glimpse into the core functionality of your game.Project Outcome:Non-player objects are spawned at appropriate locations in the scene with basic movement. When objects collide with each other, they react as intended, by either bouncing or being destroyed."
Quiz 4,https://learn.unity.com/quiz/67597fa7edbc2a1d0397f548?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Quiz,00:15:00,This quiz will assess your knowledge of the skills and concepts learned in Unit 4.

Mission 5: User Interface,,,07:30:00,"In this Mission, you will program a game to test the player’s reflexes, where the goal is to click and destroy objects randomly tossed in the air before they can fall off the screen. In creating this prototype, you will learn how to implement a User Interface - or UI - into your projects. You will add a title screen with a difficulty select menu that will control how challenging the gameplay is, you will add a score display that will track how many points the player has earned, and you will add a Game Over screen, which will allow the player to restart and try again. In learning these skills, you will be able to create a fully “playable” experience that the user can enjoy from start to finish without having to restart the application to try it again."
Unit 5 - Introduction,https://learn.unity.com/tutorial/675b5675edbc2a21f247fa1d?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:05:00,"An introductory video for Unit 5, where you will learn to implement a User Interface."
Lesson 5.1 - Clicky Mouse,https://learn.unity.com/tutorial/67520c4fedbc2a0071aaa9e5?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Overview: It’s time for the final unit! We will start off by creating a new project and importing the starter files, then switching the game’s view to 2D. Next we will make a list of target objects for the player to click on: Three “good” objects and one “bad”. The targets will launch spinning into the air after spawning at a random position at the bottom of the map. Lastly, we will allow the player to destroy them with a click!Project Outcome:A list of three good target objects and one bad target object will spawn in a random position at the bottom of the screen, thrusting themselves into the air with random force and torque. These targets will be destroyed when the player clicks on them or they fall out of bounds."
Lesson 5.2 - Keeping Score,https://learn.unity.com/tutorial/67520c50edbc2a0071aaa9f0?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:10:00,"Overview: Objects fly into the scene and the player can click to destroy them, but nothing happens. In this lesson, we will display a score in the user interface that tracks and displays the player’s points. We will give each target object a different point value, adding or subtracting points on click. Lastly, we will add cool explosions when each target is destroyed. Project Outcome:A “Score: “ section will display in the UI, starting at zero. When the player clicks a target, the score will update and particles will explode as the target is destroyed. Each “Good” target adds a different point value to the score, while the “Bad” target subtracts from the score."
Lesson 5.3 - Game Over,https://learn.unity.com/tutorial/67520c51edbc2a00a9e6d8a7?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:10:00,"Overview: We added a great score counter to the game, but there are plenty of other game-changing UI elements that we could add. In this lesson, we will create some “Game Over” text that displays when a “good” target object drops below the sensor. During game over, targets will cease to spawn and the score will be reset. Lastly, we will add a “Restart Game” button that allows the player to restart the game after they have lost.Project Outcome:When a “good” target drops below the sensor at the bottom of the screen, the targets will stop spawning and a “Game Over” message will display across the screen. Just underneath the “Game Over” message will be a “Reset Game” button that reboots the game and resets the score, so the player can enjoy it all over again."
Lesson 5.4 - What’s the Difficulty?,https://learn.unity.com/tutorial/67520c52edbc2a0085ccc302?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Overview: It’s time for the final lesson! To finish our game, we will add a Menu and Title Screen of sorts. You will create your own title, and style the text to make it look nice. You will create three new buttons that set the difficulty of the game. The higher the difficulty, the faster the targets spawn!Project Outcome:Starting the game will open to a beautiful menu, with the title displayed prominently and three difficulty buttons resting at the bottom of the screen. Each difficulty will affect the spawn rate of the targets, increasing the skill required to stop “good” targets from falling."
Challenge 5 - Whack-a-Food,https://learn.unity.com/tutorial/675348fdedbc2a04a6d3f3db?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:00:00,"Challenge Overview: Put your User Interface skills to the test with this whack-a-mole-like challenge in which you have to get all the food that pops up on a grid while avoiding the skulls. You will have to debug buttons, mouse clicks, score tracking, restart sequences, and difficulty setting to get to the bottom of this one. Challenge Outcome:All of the buttons look nice with their text properly alignedWhen you select a difficulty, the spawn rate changes accordinglyWhen you click a food, it is destroyed and the score is updated in the top-leftWhen you lose the game, a restart button appears that lets you play again"
Lab 5 - Swap out your Assets,https://learn.unity.com/tutorial/6757b207edbc2a197977c6bb?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,01:30:00,"Overview: In this lab, you will finally replace those boring primitive objects with beautiful dynamic ones. You will either use assets from the provided course library or browse the asset store for completely new ones to give your game exactly the look and feel that you want. Then, you will go through the process of actually swapping in those new assets in the place of your placeholder primitives. By the end of this lab, your project will be looking a lot better.Project Outcome:All primitive objects are replaced by actual 3D models, retaining the same basic gameplay functionality."
Quiz 5,https://learn.unity.com/quiz/675b560cedbc2a1d38eb454f?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Quiz,00:15:00,This quiz will assess your knowledge of the skills and concepts learned in Unit 5.
Introduction to user feedback and testing,https://learn.unity.com/tutorial/5fabdd30edbc2a2003a571d0?utm_campaign=092025_d7ace223-e908-44dc-bf78-8bdb5ff05f9e&utm_medium=LMS&utm_source=outline&version=6.0,Tutorial,00:20:00,"In this tutorial, you’ll explore:The purpose of user feedback.How user testing can be integrated into your design and development process.Tips for running feedback sessions and getting actionable feedback from your target users."

Mission 6: Publishing Your Project,,,05:35:00,"In this Mission, you'll prepare to continue developing your Unity and C# skills independently, including learning how to complete your personal project and how to prepare for the Unity Certified User: Programming exam, which you can take through your school program, if available."
